,Year,Rated,Runtime,Genre,Awards,imdbRating,imdbVotes,DVD,studio_size,meta_class
801,2011,PG-13,114,Drama,Other Win,6.0,87457,1,small,0
802,2011,R,129,Drama,Other Win,6.0,5658,1,big,0
809,2011,Not Rated,87,Comedy,,6.4,30820,1,big,0
813,2011,R,90,Action,Nomination,5.1,15992,1,small,0
814,2017,R,89,Crime,Other Win,6.8,85142,1,small,1
818,2011,R,101,Comedy,,6.1,8699,1,big,0
819,2011,R,86,Drama,Other Win,6.6,1065,1,big,0
820,2011,R,80,Drama,,5.0,576,1,small,0
821,2011,R,80,Drama,Nomination,5.9,209,1,small,0
823,2011,Not Rated,95,Drama,Other Win,5.3,256,1,small,0
824,2011,R,107,Drama,Other Win,5.8,7112,1,big,1
825,2011,Not Rated,94,Drama,Nomination,6.8,70,0,small,0
827,2011,PG,76,Comedy,Nomination,6.3,268,0,small,1
830,2011,Not Rated,85,Drama,Nomination,5.3,535,0,small,0
831,2015,Not Rated,135,Drama,Other Win,6.1,39737,1,small,0
832,2011,R,108,Action,Other Win,5.9,51893,1,big,0
834,2011,PG-13,91,Drama,Nomination,4.8,34157,1,small,0
835,2011,PG-13,106,Comedy,,6.3,26859,1,small,0
838,2011,R,104,Adventure,Other Win,7.0,225756,1,big,0
840,2011,PG-13,117,Comedy,Other Win,6.4,208204,1,big,0
841,2011,PG-13,114,Action,Nomination,6.2,62771,1,big,0
845,2011,Not Rated,94,Drama,Nomination,5.8,732,1,big,0
846,2011,Not Rated,69,Horror,Nomination,5.5,214,0,small,0
847,2011,PG,107,Animation,Oscar Win,7.2,222718,1,big,1
848,2011,PG-13,106,Romance,Other Win,7.0,232838,1,big,0
852,2011,PG-13,113,Action,Nomination,6.8,239502,1,big,0
853,2011,PG-13,107,Action,Nomination,4.4,24166,1,big,0
855,2011,PG-13,111,Action,Other Win,6.1,221457,1,small,0
856,2011,PG-13,103,Action,Nomination,5.0,4803,1,small,0
857,2011,Not Rated,109,Drama,Other Win,6.8,1735,1,big,1
861,2011,R,105,Comedy,,5.8,115818,1,big,0
863,2011,R,104,Action,Other Win,5.4,91470,1,big,0
873,2011,R,97,Comedy,Nomination,6.3,49442,1,big,0
876,2011,PG-13,86,Drama,Other Win,5.6,73622,1,small,0
878,2011,R,121,Action,,6.1,39030,1,small,0
883,2011,PG-13,100,Fantasy,Nomination,5.4,104218,1,small,0
885,2011,PG-13,116,Action,Other Win,5.7,169265,1,small,0
886,2011,PG-13,105,Sci-Fi,Other Win,7.4,505112,1,big,0
887,2011,PG-13,120,Drama,Oscar Win,7.3,77117,1,big,1
888,2011,PG,88,Animation,Nomination,5.4,20197,1,big,0
890,2011,R,118,Crime,Nomination,7.3,201576,1,big,1
892,2011,PG-13,93,Action,Other Win,7.5,463073,1,big,1
893,2011,R,106,Biography,Nomination,7.1,43446,1,small,0
897,2011,R,88,Action,Other Win,6.6,95420,1,small,1
899,2011,Not Rated,85,Comedy,Nomination,6.6,2792,1,small,0
901,2011,R,101,Drama,Other Win,5.4,31771,1,big,1
902,2011,Not Rated,74,Comedy,Other Win,6.2,139,1,small,0
903,2011,R,82,Action,Nomination,5.5,1570,1,small,0
904,2011,R,112,Drama,Other Win,5.8,34146,1,small,0
906,2011,R,95,Comedy,Nomination,4.3,309,1,small,0
907,2011,Not Rated,73,Comedy,Other Win,5.7,224,1,big,0
911,2011,PG-13,91,Drama,Other Win,6.7,45923,1,big,0
912,2011,PG,99,Comedy,Other Win,6.5,24108,1,big,0
918,2011,PG-13,110,Action,Other Win,6.0,222389,1,small,0
921,2011,G,96,Animation,Oscar Win,6.9,195836,1,big,1
926,2011,PG-13,122,Biography,Nomination,5.8,4404,1,small,0
927,2015,Not Rated,91,Drama,Other Win,6.8,5278,0,small,1
932,2011,PG,95,Animation,Nomination,5.4,29556,1,big,0
934,2011,TV-G,85,Drama,Other Win,6.3,329,1,small,1
937,2011,R,106,Action,,5.6,5130,1,small,0
939,2011,Not Rated,83,Comedy,Other Win,6.7,1235,1,big,0
940,2011,R,91,Comedy,Other Win,4.4,431,1,big,0
947,2011,G,63,Animation,Other Win,7.2,20335,1,big,1
948,2011,PG-13,91,Drama,Nomination,6.8,16879,1,big,0
951,2011,PG-13,111,Action,Other Win,6.8,182612,1,big,1
955,2011,R,102,Comedy,Other Win,5.5,94368,1,big,0
956,2011,PG-13,110,Comedy,Other Win,5.7,49543,1,small,0
957,2011,R,88,Comedy,Other Win,5.5,109,1,small,0
959,2011,PG,112,Biography,Other Win,7.0,42805,1,small,0
960,2011,TV-MA,86,Drama,Other Win,6.7,985,1,big,0
966,2011,R,111,Horror,Other Win,6.1,121815,1,small,0
972,2011,Not Rated,112,Comedy,Other Win,6.8,3050,0,small,1
973,2011,R,113,Action,,5.6,13230,1,small,0
974,2016,PG-13,93,Horror,Other Win,4.8,37635,1,small,0
976,2011,PG-13,97,Drama,Other Win,5.7,12738,1,small,0
977,2011,PG-13,120,Drama,Other Win,6.9,107517,1,big,0
981,2011,PG-13,130,Action,Other Win,7.3,338136,1,big,1
983,2011,PG-13,115,Action,Other Win,7.0,707847,1,big,0
986,2011,Not Rated,91,Crime,Nomination,5.0,180,0,small,0
988,2011,PG-13,112,Comedy,Nomination,5.9,55398,1,small,0
991,2011,R,100,Biography,Other Win,6.8,21879,1,small,0
992,2011,Not Rated,90,Comedy,Nomination,6.6,954,0,big,0
994,2011,PG-13,93,Comedy,,4.6,605,1,small,0
995,2011,R,85,Comedy,,6.3,938,1,big,1
996,2011,Not Rated,107,Drama,Other Win,6.9,605,1,small,1
998,2011,PG-13,106,Comedy,Other Win,4.7,7152,1,big,0
999,2011,PG,86,Animation,Other Win,4.7,11564,1,small,0
1000,2011,PG-13,84,Comedy,Other Win,5.6,1380,1,small,0
1001,2011,Not Rated,98,Drama,Other Win,7.7,71855,1,small,0
1002,2011,PG-13,87,Action,Nomination,5.7,110500,1,small,0
1003,2011,R,125,Comedy,Oscar Win,6.8,255911,1,small,1
1004,2011,PG-13,97,Comedy,Other Win,5.3,2403,1,small,0
1007,2011,R,95,Comedy,,6.1,20151,1,small,0
1010,2011,PG,104,Comedy,Nomination,5.4,14462,1,big,0
1011,2011,PG,101,Comedy,Nomination,7.0,10084,1,small,0
1012,2011,TV-14,85,Comedy,Nomination,5.7,524,1,small,0
1014,2011,Not Rated,104,Drama,Other Win,6.3,152,0,big,1
1016,2011,PG-13,92,Comedy,Other Win,6.4,5753,1,small,0
1017,2011,Not Rated,92,Drama,Other Win,7.2,96,0,small,0
1018,2017,Not Rated,88,Comedy,Other Win,7.3,16167,0,small,1
1030,2011,Not Rated,104,Comedy,Other Win,6.2,2179,1,small,0
1033,2011,R,100,Drama,Other Win,5.8,315,1,small,0
1035,2011,PG-13,112,Comedy,Other Win,5.7,9350,1,big,0
1037,2011,PG-13,136,Action,Other Win,6.6,458926,1,big,0
1042,2011,PG-13,94,Comedy,Oscar Win,7.7,365682,1,big,1
1043,2011,R,112,Drama,Other Win,7.5,128043,1,small,1
1044,2011,PG-13,105,Drama,Nomination,3.7,1075,1,big,0
1045,2011,PG,86,Action,,5.4,2291,1,small,0
1049,2011,PG-13,100,Comedy,Oscar Win,7.9,221349,1,big,1
1051,2011,PG-13,139,Drama,Oscar Win,6.8,160256,1,small,1
1054,2011,R,102,Comedy,Other Win,6.4,443716,1,big,0
